cutoff	start	end	startT	endT	dur	xpos	ypos	flankdataloss	fracinterped	RMSxy	BCEA	fixRangeX	fixRangeY	participant	trial
0.735	0	245	0.000	409.977	409.977	1078.616	446.508	0.000	0.000	0.047	0.006	0.158	0.163	participant1	im1.jpeg
0.735	255	737	424.977	1229.931	804.954	903.439	536.960	0.000	0.000	0.067	0.053	1.178	0.778	participant1	im1.jpeg
0.735	764	926	1273.262	1544.913	271.651	782.604	529.657	0.000	0.000	0.056	0.016	0.280	0.276	participant1	im1.jpeg
0.735	943	1293	1571.578	2156.543	584.965	953.586	559.394	0.000	0.000	0.063	0.058	1.146	0.355	participant1	im1.jpeg
0.735	1324	1510	2206.540	2518.199	311.659	1607.579	278.017	0.000	0.000	0.118	0.100	0.710	0.509	participant1	im1.jpeg
0.735	1563	1716	2604.863	2861.525	256.662	343.996	191.169	0.000	0.000	0.089	0.066	0.833	0.436	participant1	im1.jpeg
0.735	1735	1789	2891.524	2983.189	91.665	913.951	616.099	0.000	0.000	0.130	0.344	1.381	1.183	participant1	im1.jpeg
0.820	0	133	0.000	223.330	223.330	964.995	536.469	0.000	0.000	0.052	0.015	0.240	0.254	participant1	im2.jpeg
0.820	160	317	266.663	529.992	263.329	632.656	263.326	0.000	0.000	0.055	0.036	0.530	0.439	participant1	im2.jpeg
0.820	331	453	551.659	756.656	204.997	385.677	150.375	0.000	0.000	0.064	0.030	0.391	0.301	participant1	im2.jpeg
0.820	481	700	801.655	1168.315	366.660	1216.302	364.148	0.000	0.000	0.091	0.063	0.986	0.445	participant1	im2.jpeg
0.820	712	915	1186.649	1526.644	339.995	1501.762	456.095	0.000	0.000	0.100	0.142	1.677	0.646	participant1	im2.jpeg
0.820	943	1088	1571.643	1814.973	243.330	994.092	661.801	0.000	0.000	0.068	0.055	1.146	0.377	participant1	im2.jpeg
0.820	1116	1377	1859.972	2296.633	436.661	411.205	501.780	0.000	0.000	0.064	0.059	1.013	0.388	participant1	im2.jpeg
0.820	1413	1523	2354.965	2539.962	184.997	738.518	375.508	0.000	0.000	0.077	0.024	0.294	0.353	participant1	im2.jpeg
0.820	1538	1787	2563.295	2979.955	416.660	395.031	185.118	0.000	0.000	0.069	0.071	0.880	0.419	participant1	im2.jpeg
0.768	31	118	51.666	198.331	146.665	750.692	313.438	0.000	0.000	0.127	0.197	1.779	0.787	participant1	im3.jpeg
0.768	138	400	229.997	668.310	438.313	1030.703	604.881	0.000	0.000	0.069	0.121	1.079	1.270	participant1	im3.jpeg
0.768	425	628	708.308	1048.292	339.984	1360.548	430.980	0.000	0.000	0.054	0.019	0.271	0.289	participant1	im3.jpeg
0.768	644	830	1073.290	1384.978	311.688	1062.264	549.321	0.000	0.000	0.076	0.086	1.021	0.634	participant1	im3.jpeg
0.768	863	1571	1438.318	2619.922	1181.604	630.580	519.136	0.000	0.000	0.067	0.142	1.510	0.596	participant1	im3.jpeg
0.768	1604	1788	2673.254	2981.571	308.317	1075.241	446.930	0.000	0.000	0.048	0.016	0.351	0.214	participant1	im3.jpeg
0.874	0	248	0.000	414.992	414.992	963.595	528.052	0.000	0.000	0.055	0.011	0.155	0.235	participant2	im1.jpeg
0.874	256	356	426.659	594.989	168.330	918.321	533.678	0.000	0.000	0.065	0.033	0.633	0.194	participant2	im1.jpeg
0.874	388	475	646.655	793.319	146.664	327.831	128.895	0.000	0.000	0.095	0.037	0.292	0.473	participant2	im1.jpeg
0.874	502	599	836.651	999.984	163.333	102.238	61.251	0.000	0.000	0.069	0.030	0.395	0.304	participant2	im1.jpeg
0.874	643	805	1071.651	1343.317	271.666	1559.888	212.979	0.000	0.000	0.134	0.328	1.533	1.023	participant2	im1.jpeg
0.874	836	980	1393.317	1634.983	241.666	1647.052	863.103	0.000	0.000	0.074	0.045	0.512	0.621	participant2	im1.jpeg
0.874	1002	1081	1669.982	1803.317	133.335	944.529	682.029	0.000	0.000	0.109	0.112	1.694	0.374	participant2	im1.jpeg
0.874	1110	1255	1849.983	2093.316	243.333	164.188	790.250	0.000	0.000	0.085	0.099	0.944	0.776	participant2	im1.jpeg
0.874	1280	1424	2133.316	2374.982	241.666	964.251	592.686	0.000	0.000	0.069	0.048	1.131	0.432	participant2	im1.jpeg
0.874	1439	1613	2398.317	2689.983	291.666	916.223	557.415	0.000	0.000	0.052	0.021	0.399	0.312	participant2	im1.jpeg
0.874	1660	1751	2766.649	2919.983	153.334	516.276	344.238	0.000	0.000	0.050	0.009	0.227	0.185	participant2	im1.jpeg
0.874	1763	1788	2938.317	2981.650	43.333	870.016	503.825	0.000	0.000	0.260	0.714	1.765	0.970	participant2	im1.jpeg
0.897	0	196	0.000	328.334	328.334	870.579	508.240	0.000	0.000	0.051	0.031	0.321	0.281	participant2	im2.jpeg
0.897	213	372	355.001	621.668	266.667	1317.652	422.069	0.000	0.000	0.078	0.057	1.139	0.506	participant2	im2.jpeg
0.897	395	514	658.335	858.336	200.001	1674.534	323.989	0.000	0.000	0.086	0.040	0.402	0.449	participant2	im2.jpeg
0.897	553	645	921.669	1076.670	155.001	986.943	459.222	0.000	0.000	0.056	0.026	0.497	0.197	participant2	im2.jpeg
0.897	671	854	1118.337	1425.050	306.713	331.958	374.680	0.000	0.000	0.078	0.065	1.100	0.532	participant2	im2.jpeg
0.897	874	1014	1456.717	1691.718	235.001	932.727	631.545	0.000	0.000	0.098	0.125	1.883	0.645	participant2	im2.jpeg
0.897	1064	1205	1773.386	2010.053	236.667	1569.536	786.960	0.000	0.000	0.052	0.012	0.263	0.174	participant2	im2.jpeg
0.897	1234	1350	2056.720	2251.721	195.001	1647.876	347.967	0.000	0.000	0.077	0.049	0.417	0.603	participant2	im2.jpeg
0.897	1365	1476	2275.055	2461.723	186.668	1306.884	375.067	0.000	0.000	0.091	0.082	1.444	0.272	participant2	im2.jpeg
0.897	1501	1756	2501.722	2928.390	426.668	622.192	335.387	0.000	0.000	0.069	0.070	1.260	0.477	participant2	im2.jpeg
0.760	0	178	0.000	298.328	298.328	913.478	599.496	0.000	0.000	0.043	0.014	0.243	0.249	participant2	im3.jpeg
0.760	188	360	313.328	601.657	288.329	1106.909	490.580	0.000	0.000	0.078	0.061	0.897	0.581	participant2	im3.jpeg
0.760	384	537	639.990	896.652	256.662	1501.842	311.004	0.000	0.000	0.060	0.028	0.301	0.433	participant2	im3.jpeg
