cutoff	start	end	startT	endT	dur	xpos	ypos	flankdataloss	fracinterped	RMSxy	BCEA	fixRangeX	fixRangeY	participant	trial
0.873	0	183	0.000	304.976	306.642	962.229	539.235	0.000	0.000	0.061	0.013	0.210	0.251	participant1	im1.jpeg
0.873	197	386	328.302	643.491	316.857	932.357	549.717	0.000	0.000	0.072	0.011	0.223	0.290	participant1	im1.jpeg
0.873	415	593	691.886	988.756	298.536	379.070	226.895	0.000	0.000	0.114	0.045	0.497	0.488	participant1	im1.jpeg
0.873	628	828	1047.096	1380.440	335.010	1550.747	168.978	0.000	0.000	0.648	1.020	4.045	3.329	participant1	im1.jpeg
0.873	858	941	1430.435	1568.753	139.984	1264.355	636.787	0.000	0.000	0.112	0.089	0.410	0.852	participant1	im1.jpeg
0.873	957	1044	1595.416	1740.393	146.644	1698.891	996.481	0.000	0.000	0.147	0.295	1.697	0.832	participant1	im1.jpeg
0.873	1072	1194	1787.052	1990.344	204.959	902.023	552.865	0.000	0.000	0.098	0.095	0.946	0.543	participant1	im1.jpeg
0.873	1228	1359	2047.006	2265.347	220.008	421.897	350.340	0.000	0.000	0.082	0.045	0.542	0.433	participant1	im1.jpeg
0.873	1381	1494	2302.015	2490.355	190.007	947.840	453.359	0.000	0.000	0.126	0.182	1.625	0.561	participant1	im1.jpeg
0.873	1516	1720	2527.023	2867.038	341.683	1554.013	358.363	0.000	0.000	0.099	0.086	1.290	0.458	participant1	im1.jpeg
0.873	1741	1787	2902.044	2978.723	78.345	923.377	356.272	0.000	0.000	0.155	0.261	1.269	0.544	participant1	im1.jpeg
0.752	0	287	0.000	478.372	480.039	1097.198	522.650	0.000	0.000	0.065	0.014	0.218	0.348	participant1	im2.jpeg
0.752	396	777	660.054	1295.105	636.717	1074.605	568.893	0.000	0.000	0.076	0.019	0.405	0.360	participant1	im2.jpeg
0.752	877	1160	1461.785	1933.491	473.373	1077.297	553.927	0.000	0.000	0.092	0.028	0.249	0.365	participant1	im2.jpeg
0.752	1264	1788	2106.837	2980.241	875.070	1069.940	567.314	0.000	0.000	0.065	0.017	0.252	0.342	participant1	im2.jpeg
0.928	0	110	0.000	183.364	185.031	917.717	359.221	0.000	0.000	0.065	0.020	0.245	0.302	participant1	im3.jpeg
0.928	141	275	235.040	458.414	225.041	779.760	533.674	0.000	0.000	0.062	0.017	0.302	0.275	participant1	im3.jpeg
0.928	407	542	678.457	903.504	226.714	868.276	538.246	0.000	0.000	0.106	0.030	0.265	0.910	participant1	im3.jpeg
0.928	682	1020	1136.889	1700.366	565.143	941.853	557.578	0.000	0.000	0.061	0.023	0.519	0.348	participant1	im3.jpeg
0.928	1037	1178	1728.702	1963.722	236.687	771.040	457.332	0.000	0.000	0.073	0.043	0.523	0.368	participant1	im3.jpeg
0.928	1203	1390	2005.393	2317.086	313.360	1353.554	455.281	0.000	0.000	0.080	0.061	1.112	0.376	participant1	im3.jpeg
0.928	1400	1598	2333.754	2663.783	331.696	1175.892	527.721	0.000	0.000	0.079	0.070	1.267	0.471	participant1	im3.jpeg
0.928	1612	1788	2687.118	2980.477	295.025	1096.722	525.753	0.000	0.000	0.067	0.029	0.433	0.318	participant1	im3.jpeg
